candidate_id,model_name,model_family,provider_or_org,status,format_or_runtime,source_packet_path,report_path,benchmark_run_id,model_page_url,github_url,lm_studio_url,ollama_url,runtime_availability,why_interesting,risk_notes,proposed_eval
20260603-qwen3-coder-30b-a3b-lmstudio-mlx-4bit,Qwen3-Coder-30B-A3B-Instruct-MLX-4bit,Qwen,lmstudio-community local artifact,ready_for_eval,MLX through LM Studio,automations/ai-lab-radar/inputs/2026-06-03-real-local-candidates.md,automations/ai-lab-radar/reports/2026-06-03-real-local-candidates.md,20260603-qwen3-coder-30b-a3b-lmstudio-mlx-4bit-r2,https://huggingface.co/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-MLX-4bit,,,,LM Studio MLX local artifact; local OpenAI-compatible server auth path should be controlled before retest,Installed local model artifact produced the first scored local benchmark result and remains relevant for coding-model evaluation.,"First failed-runtime attempt is preserved separately; scored r2 result exists, but privacy/local-first safety should be retested before daily-driver use.","Use the r2 artifact as the current baseline, then retest after prompt settings and local endpoint auth are controlled explicitly."
20260603-model-atlas-7b,Model Atlas 7B,unknown,unknown,watchlist,unknown,automations/ai-lab-radar/inputs/2026-06-03-approved-source-packet.md,automations/ai-lab-radar/reports/2026-06-03-approved-source-packet.md,,,,,,unknown,Source claims fast behavior on MacBook Air M2 and good answers on simple coding prompts.,"Source claims overconfident dates. Image input, browser use, and private document retrieval were not tested. License, runtime, context window, and local artifact path are unknown.","Revisit after confirming local artifact, runtime, and license; test coding and date-sensitive truthfulness before treating as a daily-driver candidate."
20260603-model-boreal-13b,Model Boreal 13B,unknown,unknown,ready_for_eval,unknown,automations/ai-lab-radar/inputs/2026-06-03-approved-source-packet.md,automations/ai-lab-radar/reports/2026-06-03-approved-source-packet.md,,,,,,unknown,Source claims stronger long-form summaries and better uncertainty statements than Atlas 7B.,"Slower than Atlas 7B. Image input, browser use, and private document retrieval were not tested. License, runtime, context window, and local artifact path are unknown.","If already locally available and approved for testing, run evals/local-llm-benchmark/SPEC.md through skills/local-llm-eval, especially research synthesis and uncertainty prompts."
20260605-deepseek-r1-0528-qwen3-8b,DeepSeek-R1-0528-Qwen3-8B,DeepSeek R1 / Qwen3,DeepSeek AI,ready_for_eval,Local OpenAI-compatible endpoint or approved GGUF/MLX runtime,automations/ai-lab-radar/inputs/2026-06-05-external-curated-model-scan.md,automations/ai-lab-radar/reports/2026-06-05-external-curated-model-scan.md,,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,,,,Hugging Face source page; LM Studio/Ollama/GGUF artifact not selected yet,Compact reasoning/coding candidate selected to prove the external-radar-to-local-benchmark loop.,"External metadata only so far; license, exact local artifact format, context window, and endpoint/runtime path must be confirmed before scored import.","Select an approved local artifact or local server endpoint, run evals/local-llm-benchmark/SPEC.md with the localhost/private-LAN runner, then confirm assisted score suggestions before dashboard import."
20260605-qwen3-8b-abliterated-gguf,Qwen3-8B-Abliterated-GGUF,Qwen3 Abliterated,mlabonne / bartowski,ready_for_eval,GGUF through LM Studio or llama.cpp,automations/ai-lab-radar/inputs/2026-06-05-abliterated-dolphin-shortlist.md,automations/ai-lab-radar/reports/2026-06-05-abliterated-dolphin-shortlist.md,,https://huggingface.co/bartowski/mlabonne_Qwen3-8B-abliterated-GGUF,,,,GGUF; source metadata lists llama.cpp and local runtime tags for LM Studio and Ollama,Practical 8B Qwen3 abliterated candidate with GGUF availability for local low-refusal behavior testing.,"Abliteration changes refusal behavior; benchmark with explicit safety and risk notes and do not convert source claims into scores.","Run local benchmark harness with normal prompts plus evaluator notes on refusals, uncertainty, and policy-boundary behavior."
20260605-dolphin3-llama31-8b-gguf,Dolphin3.0-Llama3.1-8B-GGUF,Dolphin,Cognitive Computations / dphn,ready_for_eval,GGUF through LM Studio or llama.cpp,automations/ai-lab-radar/inputs/2026-06-05-abliterated-dolphin-shortlist.md,automations/ai-lab-radar/reports/2026-06-05-abliterated-dolphin-shortlist.md,,https://huggingface.co/dphn/Dolphin3.0-Llama3.1-8B-GGUF,,,,GGUF; source metadata lists llama.cpp and local runtime tags for LM Studio and Ollama,Practical 8B Dolphin GGUF candidate for local agentic and general-assistant comparison.,"Dolphin low-refusal behavior needs safety, license, and stability review before daily-driver use.","Run local benchmark harness and compare against Qwen r2, with separate notes for refusals and instruction-following."
20260605-gemma-3-12b-it-abliterated-v2-gguf,gemma-3-12b-it-abliterated-v2-GGUF,Gemma Abliterated,mlabonne,watchlist,GGUF with text/image model-card metadata,automations/ai-lab-radar/inputs/2026-06-05-abliterated-dolphin-shortlist.md,automations/ai-lab-radar/reports/2026-06-05-abliterated-dolphin-shortlist.md,,https://huggingface.co/mlabonne/gemma-3-12b-it-abliterated-v2-GGUF,,,,GGUF; source metadata includes local runtime tags and text/image task framing,12B Gemma abliterated GGUF candidate with multimodal-adjacent metadata; useful for a future text-plus-vision lane.,"Current harness is text-first; Gemma license terms and local artifact behavior need review before benchmark import.","Keep on watchlist until text-only versus multimodal eval scope is approved."
20260605-dolphin-mistral-24b-venice-edition,Dolphin-Mistral-24B-Venice-Edition,Dolphin / Mistral,Cognitive Computations / Venice AI,ready_for_eval,Source model with quantized local-runtime options to verify,automations/ai-lab-radar/inputs/2026-06-05-abliterated-dolphin-shortlist.md,automations/ai-lab-radar/reports/2026-06-05-abliterated-dolphin-shortlist.md,,https://huggingface.co/dphn/Dolphin-Mistral-24B-Venice-Edition,,,,Source model; quantized LM Studio/Ollama/llama.cpp artifact must be selected before benchmark,24B Dolphin/Venice uncensored candidate that may be a higher-capability specialty model if a local quantized artifact is approved.,"256 GB RAM makes size acceptable; low-refusal behavior still needs license, stability, and safety review before daily-driver use.","Select an approved local quantized artifact first; then run the local benchmark harness as a specialty comparison."
20260605-qwen3-30b-a3b-abliterated,Qwen3-30B-A3B-Abliterated,Qwen3 Abliterated,mlabonne,watchlist,Safetensors source; local quantization or local endpoint path to verify,automations/ai-lab-radar/inputs/2026-06-05-abliterated-dolphin-shortlist.md,automations/ai-lab-radar/reports/2026-06-05-abliterated-dolphin-shortlist.md,,https://huggingface.co/mlabonne/Qwen3-30B-A3B-abliterated,,,,Safetensors source; local quantization plus LM Studio/Ollama path unverified,Large Qwen3 MoE abliterated candidate with Apache-2.0 source metadata; potential high-quality specialty model.,"Not currently visible in LM Studio local inventory; 256 GB RAM makes size less concerning, but exact local artifact/runtime must be confirmed before any benchmark.","Keep on watchlist until a matching abliterated local artifact or endpoint is actually available."
20260605-qwen3-30b-a3b-instruct-lmstudio,Qwen3-30B-A3B-Instruct,Qwen3,local LM Studio inventory,ready_for_eval,LM Studio local OpenAI-compatible endpoint,automations/ai-lab-radar/inputs/2026-06-05-local-qwen3-30b-instruct-lmstudio.md,automations/ai-lab-radar/reports/2026-06-05-local-qwen3-30b-instruct-lmstudio.md,,,,,,User-reported LM Studio UI candidate; CLI/API exact model id not confirmed,Vanilla 30B Qwen candidate selected after the local UI appeared to show Qwen3-30B-A3B-Instruct rather than an abliterated model.,"Runtime verification is still required: current CLI inventory only exposes qwen3-coder-30b-a3b-instruct-mlx, so do not score this candidate until the exact model id appears.","Confirm exact LM Studio endpoint model id, then run local benchmark harness with run id 20260605-qwen3-30b-a3b-instruct-lmstudio-r1."
